,,,SAN FRANCISCO DE BORJA,15.98,17.93,17.09,
,,,COYAME DEL SOTOL,15.98,17.93,17.09,
,,,CAMARGO,15.98,17.93,17.09,
,,,CUSIHUIRIACHI,15.98,17.93,17.09,
,,,SATEVO,15.98,17.93,17.09,
,,,LA CRUZ,15.98,17.93,17.09,
,,,CUAUHTEMOC,15.98,17.93,17.09,
,,,SAUCILLO,15.98,17.93,17.09,
,,,DR BELISARIO DOMINGUEZ,15.98,17.93,17.09,
,,,ROSALES,15.98,17.93,17.09,
,,,DELICIAS,15.98,17.93,17.09,
,,,GRAN MORELOS,15.98,17.93,17.09,
,,,MEOQUI,15.98,17.93,17.09,
,,,JULIMES,15.98,17.93,17.09,
,,,SANTA BARBARA,15.98,17.93,17.09,
,,,ALDAMA,15.98,17.93,17.09,
,,,CHIHUAHUA,15.98,17.93,17.09,
,,,AQUILES SERDAN,15.98,17.93,17.09,
10.0,COLIMA,COLIMA,COLIMA,16.01,17.74,16.9,
,,,CUAUHTEMOC,16.01,17.74,16.9,
,,,COMALA,16.01,17.74,16.9,
,,,COQUIMATLAN,16.01,17.74,16.9,
,,,VILLA DE ALVAREZ,16.01,17.74,16.9,
11.0,CUAUTLA,PUEBLA,TEHUITZINGO,15.75,17.49,16.64,
,,,TECOMATLAN,15.75,17.49,16.64,
,,,IZUCAR DE MATAMOROS,15.75,17.49,16.64,
,,,CHIETLA,15.75,17.49,16.64,
,,,EPATLAN,15.75,17.49,16.64,
,,,TILAPA,15.75,17.49,16.64,
,,MORELOS,AXOCHIAPAN,15.75,17.49,16.64,
,,,TETELA DEL VOLCAN,15.75,17.49,16.64,
,,,TOTOLAPAN,15.75,17.49,16.64,
,,,TLAYACAPAN,15.75,17.49,16.64,
,,,TEPALCINGO,15.75,17.49,16.64,
,,,YECAPIXTLA,15.75,17.49,16.64,
,,,YAUTEPEC,15.75,17.49,16.64,
,,,AYALA,15.75,17.49,16.64,
,,,JANTETELCO,15.75,17.49,16.64,
,,,ATLATLAHUCAN,15.75,17.49,16.64,
,,,CUAUTLA,15.75,17.49,16.64,
,,,JONACATEPEC DE LEANDRO VALLE,15.75,17.49,16.64,
,,,TEMOAC,15.75,17.49,16.64,
,,ESTADO DE MÉXICO,TEPETLIXPA,15.75,17.49,16.64,
12.0,CUERNAVACA,MORELOS,AMACUZAC,15.78,17.54,16.7,
,,,MAZATEPEC,15.78,17.54,16.7,
